名称,邮编
无锡云捷科技有限公司,300300.0
山东科华电力技术有限公司,528000.0
中南林业科技大学,610031.0
厦门嘉烨兴农业科技有限公司,
重庆工业职业技术学院,236500.0
重庆秉为科技有限公司,637000.0
安徽兴宇轨道装备有限公司,250101.0
安徽皖通邮电股份有限公司,250101.0
中铁工程机械研究设计院有限公司,200231.0
天津市鸿远电气股份有限公司,230031.0
桂斌,523000.0
广州新远路桥技术有限公司,300384.0
浙江国自机器人技术有限公司,310000.0
深圳供电局有限公司,201210.0
安吉明微智科技有限公司,214000.0
成都汇智远景科技有限公司,250101.0
传线网络科技（上海）有限公司,401520.0
钱荣毅,100032.0
德阳力久云智知识产权运营有限公司,310053.0
天津中隧通风机有限公司,100085.0
张恒亮,310012.0
湖北巴山食品有限责任公司,300384.0
兰州交通大学,410083.0
中车建设工程有限公司,409600.0
中国铁路总公司,610031.0
上海市建筑科学研究院,518057.0
国网辽宁省电力有限公司葫芦岛供电公司,750021.0
云南航天工程物探检测股份有限公司,610031.0
南京邮电大学,
中国矿业大学（北京）,710201.0
黑龙江傲立辅龙科技开发有限公司,
青岛理工大学,276800.0
浙江科技学院,430081.0
北京工业大学,430072.0
北京玖瑞科技有限公司,550002.0
中国铁建重工集团有限公司,266590.0
北京瑞途科技有限公司,201112.0
上海市地下空间设计研究总院有限公司,710075.0
上海城建投资发展有限公司,610031.0
登封市宏远电热元件有限公司,400707.0
云南省科学技术情报研究院,610031.0
刘应波,710072.0
深圳信通环球科技有限公司,201100.0
中铁第五勘察设计院集团有限公司,430048.0
中国铁路经济规划研究院,710075.0
北京铁五院工程机械有限公司,410019.0
中材江苏太阳能新材料有限公司,200233.0
河南理工大学,409600.0
北斗卫星导航科技邢台有限公司,610000.0
安徽极光照明工程有限公司,409600.0
中国科学技术大学,100031.0
常州市左贤机械制造有限公司,405203.0
盛顶兴,215121.0
马艳飞,405203.0
国网山西省电力公司晋中供电公司,215000.0
西南大学,214192.0
宁波交通工程建设集团有限公司,518057.0
张卓,361006.0
王少峰,214192.0
赵莉莉,255000.0
绵竹市鑫圣龙通风设备制造有限公司,518000.0
中国铁道科学研究院集团有限公司铁道建筑研究所,210000.0
中国铁道科学研究院集团有限公司,100085.0
太原理工大学,730000.0
昆明聚讯科技有限公司,
福建省亿焙机械有限公司,405203.0
金鹏涛,361000.0
三一重型装备有限公司,610031.0
北方工业大学,405203.0
中冶交通建设集团有限公司,518118.0
四川省交通运输厅交通勘察设计研究院,315031.0
贵阳电气控制设备有限公司,300000.0
山东百世通大数据科技有限公司,751600.0
陈国,201199.0
宁波保税区攀峒信息科技有限公司,233000.0
科威嘉尼（江苏）制冷设备有限公司,215000.0
大连楼兰科技股份有限公司,518131.0
上海潮旅信息科技股份有限公司,710075.0
北京许继电气有限公司,400074.0
济南华北升降平台制造有限公司,310053.0
国网山东省电力公司应急管理中心,300070.0
国网北京市电力公司,610000.0
刘春梅,100038.0
辽宁工程技术大学,610031.0
刘辉,611731.0
中国地质大学（武汉）,510600.0
中国科学院武汉岩土力学研究所,200240.0
贵州中德节能窑炉有限公司,400044.0
中原工学院,313112.0
广州尚牛设计有限公司,102206.0
长沙科达智能装备股份有限公司,710048.0
中铁一局集团有限公司,410000.0
中铁一局集团电务工程有限公司,310008.0
南京锦和佳鑫信息科技有限公司,610031.0
成都天佑智隧科技有限公司,510640.0
仇文革,611731.0
张虹,610000.0
四川辉通云联数据科技有限公司,300350.0
广州市建筑科学研究院有限公司,300350.0
广州建设工程质量安全检测中心有限公司,473300.0
天津市安睿森科技有限公司,528226.0
厦门兴南洋信息技术有限公司,100088.0
徐州市申克测控机电设备有限公司,250101.0
山东天勤工程科技有限公司,200135.0
云南省机械研究设计院,528300.0
浙江交工集团股份有限公司,528400.0
河北中岗通讯工程有限公司,710077.0
苏州帝夫云道网络科技有限公司,710061.0
中交一公局第五工程有限公司,100085.0
南阳师范学院,653203.0
建研地基基础工程有限责任公司,250101.0
北京中力智研物联科技有限公司,518108.0
扬州道明智控科技有限公司,300384.0
宿州市皖发物流有限责任公司,361008.0
国网山东省电力公司潍坊供电公司,610031.0
武汉静磁栅机电制造有限公司,400026.0
江西通慧科技股份有限公司,610031.0
迪比（重庆）智能科技研究院有限公司,211100.0
潍坊方源电力咨询设计有限公司,330006.0
深圳市虹鹏能源科技有限责任公司,200241.0
王子睿,710064.0
